Index,Code,Group,Description,EEPROM Word,Bit Offset,Bit Width,Type,R/W
0,HY,Regulation,Differential,16,8,8,unsigned integer,R/W
1,LS,Regulation,Minimum set point,50,0,16,unsigned integer,R/W
2,US,Regulation,Maximum set point,51,0,16,unsigned integer,R/W
3,odS,Regulation,Outputs delay at start up,40,8,8,unsigned integer,R/W
4,CCo,Regulation,Compressors setup,12,2,2,bit flag,R/W
5,CCt,Regulation,Fast freezing duration,40,0,8,unsigned (hours),R/W
6,Con,Regulation,Compressor ON time with faulty probe,17,0,8,unsigned integer,R/W
7,CoF,Regulation,Compressor OFF time with faulty probe,18,8,8,unsigned integer,R/W
8,CH,Regulation,Kind of action,10,8,1,"enum (0=Cool, 1=Heat)",R/W
9,CF,Display,Temperature measurement unit,10,10,1,"enum (0=°C, 1=°F)",R/W
10,Lod,Display,Probe displayed,11,8,2,bit flag,R/W
11,dLY,Display,Display temperature delay,18,0,8,unsigned integer,R/W
12,Pdn,Defrost,Delay time before defrost,19,8,8,unsigned (min),R/W
13,EdF,Defrost,Defrost mode,11,10,2,"enum (0=Temp, 1=Time, 2=Both)",R/W
14,SdF,Defrost,Smart Defrost set point,19,0,8,signed ×0.1 °C,R/W
15,dtE,Defrost,First defrost end temperature,29,0,16,signed ×0.1 °C,R/W
16,dtS,Defrost,Secondo defrost end temperature,30,0,16,signed ×0.1 °C,R/W
17,IdF,Defrost,Delay between defrost cycles,41,8,8,unsigned (hours),R/W
18,MdF,Defrost,First defrost maximum duration,20,8,8,unsigned (min),R/W
19,MdS,Defrost,Second defrost maximum duration,20,0,8,unsigned (min),R/W
20,dFd,Defrost,Visualization during defrost,13,12,4,bit flag,R/W
21,dAd,Defrost,Temperature visualization delay after defrost,41,0,8,unsigned (min),R/W
22,dSd,Defrost,Defrost delay from call,21,8,8,unsigned (min),R/W
23,dod,Defrost,Time with defrost relay still active after defrost end,21,0,8,unsigned integer,R/W
24,Fdt,Defrost,Dripping time,42,8,8,unsigned (min),R/W
25,dPo,Defrost,Defrost at power-on,10,15,1,bit flag,R/W
26,dAF,Defrost,Defrost delay after fast freezing,42,0,8,unsigned integer,R/W
27,dFP,Defrost,First defrost probe selection,12,10,2,bit flag,R/W
28,dSP,Defrost,Second defrost probe selection,11,12,2,bit flag,R/W
