Index,Address (hex),Address (dec),Code,Group,Description,FC Read,FC Write
0,0x0400,1024,SEt,Regulation,Set point,FC03,FC16
1,0x0401,1025,Hy,Regulation,Differential,FC03,FC16
2,0x0402,1026,LS,Regulation,Minimum set point,FC03,FC16
3,0x0403,1027,US,Regulation,Maximum set point,FC03,FC16
4,0x0404,1028,ot,Regulation,Thermostat probe calibration,FC03,FC16
5,0x0405,1029,P2P,Regulation,Evaporator probe presence,FC03,FC16
6,0x0406,1030,oE,Regulation,Evaporator probe calibration,FC03,FC16
7,0x0407,1031,P3P,Regulation,Third probe presence,FC03,FC16
8,0x0408,1032,o3,Regulation,Third probe calibration,FC03,FC16
9,0x0409,1033,P4P,Regulation,Fourth probe presence,FC03,FC16
10,0x040A,1034,o4,Regulation,Fourth probe calibration,FC03,FC16
11,0x040B,1035,Ods,Regulation,Outputs delay at start up,FC03,FC16
12,0x040C,1036,Ac,Regulation,Anti-short cycle delay,FC03,FC16
13,0x040D,1037,Ac1,Regulation,Second compressor start delay,FC03,FC16
14,0x040E,1038,tMC,Regulation,MAX time compressor ON,FC03,FC16
15,0x040F,1039,rtr,Regulation,P1-P2 percentage for regulation,FC03,FC16
16,0x0410,1040,CCt,Regulation,Continuous cycle duration,FC03,FC16
17,0x0411,1041,CCS,Regulation,Set point for continuous cycle,FC03,FC16
18,0x0412,1042,Con,Regulation,Compressor ON time with faulty probe,FC03,FC16
19,0x0413,1043,CoF,Regulation,Compressor OFF time with faulty probe,FC03,FC16
20,0x0414,1044,CH,Regulation,Kind of action: heating cooling,FC03,FC16
21,0x0415,1045,CF,Display,Temperature measurement unit,FC03,FC16
22,0x0416,1046,rES,Display,Resolution,FC03,FC16
23,0x0417,1047,Lod,Display,Probe displayed,FC03,FC16
24,0x0418,1048,Red,Display,X-REP display,FC03,FC16
25,0x0419,1049,dLy,Display,Display temperature delay,FC03,FC16
26,0x041A,1050,dtr,Display,P1-P2 percentage for display,FC03,FC16
27,0x041B,1051,tdF,Defrost,Defrost type,FC03,FC16
28,0x041C,1052,dFP,Defrost,Probe selection for first defrost,FC03,FC16
29,0x041D,1053,dSP,Defrost,Probe selection for second defrost,FC03,FC16
30,0x041E,1054,dtE,Defrost,Defrost termination temperature first defrost,FC03,FC16
